id,author_type,author_id,content,visibility,group_id,media_urls,created_at
11111111-1111-1111-1111-111111111111,profile,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,"Launching Habl beta hari ini 🚀 Semoga stabil!",public,,"[]",2024-01-10T08:00:00Z
22222222-2222-2222-2222-222222222222,profile,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,"Diskusi frontend malam ini di group ya teman teman 👨‍💻",group,cccccccc-cccc-cccc-cccc-cccccccccccc,"[]",2024-01-11T10:15:00Z
33333333-3333-3333-3333-333333333333,page,dddddddd-dddd-dddd-dddd-dddddddddddd,"Official announcement: fitur baru segera hadir ✨",public,,"[]",2024-01-12T14:30:00Z
44444444-4444-4444-4444-444444444444,profile,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,"Menurut kalian, algoritma feed lebih baik chronologis atau ranked?",followers,,"[]",2024-01-13T09:45:00Z
55555555-5555-5555-5555-555555555555,profile,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,"Foto dari event kemarin seru banget 📸🔥",public,,"[""https://picsum.photos/600/400""]",2024-01-14T16:20:00Z
66666666-6666-6666-6666-666666666666,profile,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,"Thread diskusi performance SvelteKit dimulai sekarang.",group,cccccccc-cccc-cccc-cccc-cccccccccccc,"[]",2024-01-15T11:05:00Z
77777777-7777-7777-7777-777777777777,page,dddddddd-dddd-dddd-dddd-dddddddddddd,"Community spotlight minggu ini 🌟",public,,"[""https://picsum.photos/800/500""]",2024-01-16T13:40:00Z
88888888-8888-8888-8888-888888888888,profile,ffffffff-ffff-ffff-ffff-ffffffffffff,"Belajar sistem federasi hari ini. Strukturnya mulai matang.",public,,"[]",2024-01-17T07:30:00Z
99999999-9999-9999-9999-999999999999,profile,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,"Eksperimen ranking feed pakai decay time function 🧠",public,,"[]",2024-01-18T12:10:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,profile,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,"Siapa yang mau join group baru tentang AI dan Supabase?",public,,"[]",2024-01-19T18:55:00Z
